
################################################################################
#  SUPPLEMENT A: COMPLETE GAME DATA STRING CATALOG
################################################################################

--- WEAPON NAMES (130 found) ---
  0FE2B0: "AC-1 Dutiful"
    260 (0x0104): 2 occurrences
   3000 (0x0BB8): 2 occurrences
     45 (0x002D): 2 occurrences
     50 (0x0032): 2 occurrences
     33 (0x0021): 2 occurrences
     36 (0x0024): 2 occurrences
    344 (0x0158): 2 occurrences
    250 (0x00FA): 2 occurrences
    200 (0x00C8): 2 occurrences
     51 (0x0033): 2 occurrences

################################################################################
#  SUPPLEMENT F: DIFFICULTY SYSTEM ANALYSIS
################################################################################

--- Difficulty Tier Display Strings ---
  0FF5C8: "1 - Trivial (0%)"
  0FF5E0: "2 - Easy (0%)"
  0FF5F0: "3 - Medium (25%)"
  0FF608: "4 - Challenging (50%)"
  0FF620: "5 - Hard (75%)"
  0FF630: "6 - Extreme (100%)"
  0FF648: "7 - Super Helldive (150%)"
  0FF668: "8 - (200%)"
  0FF678: "9 - (250%)"
  0FF688: "10 - (300%)"

--- Difficulty Reward Multipliers (from cheat UI) ---
  1 - Trivial (0%)          -> No extra reward
  2 - Easy (0%)             -> No extra reward
  3 - Medium (25%)          -> 1.25x
  4 - Challenging (50%)     -> 1.50x
  5 - Hard (75%)            -> 1.75x
  6 - Extreme (100%)        -> 2.00x
  7 - Super Helldive (150%) -> 2.50x
  8 - (200%)                -> 3.00x
  9 - (250%)                -> 3.50x
  10 - (300%)               -> 4.00x

  NOTE: Tiers 8-10 exist in cheat but may not be available in-game.
  The "cmp esi,7" NOP forces max tier rewards by bypassing the
  difficulty comparison that gates higher reward multipliers.
  "cmp esi,5" bypasses stratagem count limit check.


################################################################################
#  SUPPLEMENT G: ARMOR PASSIVE ABILITY ENUM
################################################################################

--- Armor Passive Names Found ---
  "Acclimated"
  "B-27 Fortified Commando"
  "Ballistic Padding"
  "Battle Hardened"
  "CM-21 Trench Paramedic"
  "Combat Medic"
  "Concussive Grenadier"
  "Concussive Hazmat"
  "Concussive Reinforced"
  "Desert Stormer"
  "Explosive Finale"
  "Fire Resistant"
  "Fire Support"
  "Gas Resistance"
  "Peak Physique"
  "Reinforced Epaulettes"
  "SC-30 Trailblazer Scout"
  "SR-24 Street Scout"
  "Scout Strider"
  "Siege Breaker"
  "Supplemental Stamina"

  NOTE: These are likely the internal armor passive ability names,
  mapped to enum values in the game. The cheat scans current armor
  and lets the user select a different passive from the combo box.


################################################################################
#  SUPPLEMENT H: KNOWN GAME.DLL OFFSET REFERENCES
################################################################################

--- Documented Pattern Offsets (from existing analysis) ---
  These patterns are searched for in game.dll at runtime:

  [God Mode]
    - 3 hooks for player god mode
    - Patches damage receive, death flag, health check

  [Grenade Count]
    - 0F 5B DB F3 41 0F 59 4E ?? F3
    - CVTSS2SD + MULSS (conversion + multiply)
    - NOPed to prevent grenade consumption

  [No Boundary]
    - "Force unconditional jump (bypass boundary)"
    - Patches mission boundary kill trigger

  [Landing Speed]
    - F3 0F 11 44 3B ?? F3 0F 59 C7 F3 0F 5A C0
    - MOVSS write + MULSS + CVTSS2SD

  [Stratagem Unlock]
    - 48 8B 0D ?? ?? ?? ?? 44 89 80 60 0C
    - Global reference with write to offset +0xC60
    - "Unlock All Armory" patches this

  [Turret Overheat]
    - F3 0F 11 4C A8 ?? 49
    - "NOP turret heat accumulation"

  [Turret Duration]
    - F3 45 0F 11 5E ?? E9
    - "Inf Turret Duration" -> sets timer to infinite

  [Active Session]
    - 48 8B 35 ?? ?? ?? ?? 49 8B E9 41 8B D8 48 8B 88 28 01
    - GetActiveSession() entry point
    - Session+0x28 -> activity container
    - Session+0x128 -> alternate reference

  [Reward Multiplier]
    - 41 8B 47 ?? 4C 8B 7C 24 ?? 4C
    - XP/Medals/Slips multiplier hooks

  [Stratagem Count]
    - 42 83 2C 81 ?? 48
    - SUB [rcx+r8*4+imm8], imm8 -> NOPed for infinite uses

  [Kill Counter]
    - 39 46 ?? 75 ?? FF C5
    - Increment counter hook for stats display

  [Stim Use]
    - NOP stim count decrement -> infinite stims

  [Laser Overheat]
    - "NOP turret heat accumulation" (applies to laser weapons)

  [Instant Charge]
    - "NOP railgun charge calculation"
    - 0x103250: "NOP railgun charge calculation"

  [Grenade Fuse]
    - F3 0F 11 44 C8 ?? 0F
    - "NOP fuse timer write"

  [SC Hash Table]
    - "NOP both hash table INSERT calls"
    - Prevents server from marking SC as collected

  [Instant Strat Call-in]
    - Patches call-in time to zero

  [Instant Shuttle]
    - "Instant Shuttle: ON ##shut5"
    - Skips shuttle timer

  [No Recoil]
    - Patches recoil pattern

  [Inf Ammo]
    - Patches ammo consumption

  [Inf Stamina]
    - "NOP stamina read/drain" at 0x102B38

  [Longer Hover]
    - "NOP hover time limit check"

  [Shield Cooldown]
    - "NOP shield relay cooldown write"

  [Instant Hellbomb]
    - "NOP hellbomb arm timer write"


################################################################################
#  SUPPLEMENT I: API ENDPOINTS & NETWORK PROTOCOL
################################################################################

--- Discovered API Endpoint ---
  https://api.live.prod.thehelldiversgame.com/api/Operation/Mission/end

--- HTTP Headers Used ---
  X-Signature:     (cryptographic signature for auth)
  X-Session:       (session identifier)
  Authorization:   (standard auth header)
  Cookie:          (session cookies)
  Content-Type:    (likely application/json)

--- Signature Capture Protocol ---
  The cheat intercepts HTTP traffic (MITM) to capture:
    1. "f2s7" - First signature chunk
    2. "f2s7+nonce" - Signature + cryptographic nonce
    3. "f2s7+partial" - Partial signature data
  These are used to reconstruct the X-Signature header for replay.

--- JSON Payload Fields (Mission/end POST) ---
  "capturedWarTime" - Current war time value (uint)
  "missionId"       - UUID mission identifier
  "serObj"          - Server object data
  "serObjOrigAddr"  - Original server object address (uint64)
  "slotData"        - Player slot data
  "entityDeep"      - Entity hierarchy (JSON)
  "entityDataDeep"  - Entity data payload (JSON)
  "ac"              - Activity count (int)
  "oi"              - Object ID (uint)
  "gs"              - Game state (string)


################################################################################
#  SUPPLEMENT J: SC/MEDAL FARMING - INTERNAL PROTOCOL
################################################################################

--- ScActivityAPC Structure (from code analysis) ---
  struct ScActivityAPC {
      // +0x00: vtable pointer
      // +0x08: actId32   (activity identifier)
      // +0x0C: objId     (object identifier)
      // +0x10: ctr       (control/state counter)
      // +0x14: flag      (flags)
      // +0x18: ring      (ring buffer index)
      // +0x20: url[0x40] (API endpoint URL)
      // +0x60: qDelta    (queue delta)
      // +0x64: retry     (retry counter)
      // +0x68: missionData (pointer)
      // +0x70: missionId[0x40] (UUID string)
  };

--- SC Loop Algorithm ---
  1. Wait for game session (GetActiveSession() != NULL)
  2. Capture Mission/end POST body via HTTP hook
  3. Store: missionId, warTime, entityDeep, entityDataDeep, slotData
  4. On loop trigger:
     a. Read ring buffer state (ctr, flag, ring)
     b. Modify missionId to new UUID
     c. POST captured body with new missionId
     d. 9 calls per batch, 500ms apart
     e. 58 second cooldown between batches
  5. If crash: VEH recovers state, increments crash counter
  6. If no capture: waits for next mission

--- Medal Farming ---
  - Alternates between SC and Medal batches
  - "Medals Only" mode skips SC, only sends medals
  - Same batch pattern: 9 calls x 500ms

--- Anti-Duplicate Bypass ---
  - "NOP both hash table INSERT calls"
  - Prevents game.dll from marking SC entities as already collected
  - Allows repeated claims from the same mission data

--- SC Goal / Tracker ---
  - User sets SC goal count
  - Auto-stops when goal reached
  - Tracks: calls sent, SC earned, x100 bonuses, crashes
  - Auto Sync: distributes SC across all lobby players

--- Burst Replay System ---
  - Queues N replays instantly (with 5s stagger)
  - Server may rate-limit bursts
  - Burst Loop: auto-fires every N minutes
  - Max replays configurable


################################################################################
#  SUPPLEMENT K: WEAPON XP FARMING SYSTEM
################################################################################

--- Weapon XP System ---
  51 total weapons tracked
  IDs: 0-50 or 1-51 (index into weapon array)

  Modes:
    - All Guns: cycles through all 51 weapons
    - Selected Guns: user picks specific weapons
    - Primary Override: sets one weapon for all lobby members

  "Replays/gun" counter: configurable number of replays per weapon
  "Patching %d weapon slot(s) -> ID %u (%s)"


################################################################################
#  SUPPLEMENT L: VEH CRASH RECOVERY SYSTEM
################################################################################

--- Vectored Exception Handler ---
  Registered via AddVectoredExceptionHandler(1, handler)
  Handles: ACCESS_VIOLATION (0xC0000005)
           STACK_OVERFLOW (0xC00000FD)
           ILLEGAL_INSTRUCTION (0xC000001D)
           (and others)

  On crash:
    1. Save SC loop state (ring index, batch progress)
    2. Save replay data
    3. Increment crash counter
    4. Write crash log: "=== LIBERTEA CRASH LOG ==="
    5. Restore state on next loop iteration

  Replay watchdog: resets stuck replayInProgress flag


################################################################################
#  SUPPLEMENT M: DATA REGION STRING MAP
################################################################################

--- Game Data String Regions ---
  0x0FD000-0x0FE400: Weapon and armor name strings
  0x0FE400-0x0FF000: SC/Replay/Probe UI strings
  0x0FF000-0x100000: Weapon selection, farming UI strings
  0x100000-0x101000: Feature descriptions, tooltips
  0x101000-0x102000: HTTP/replay/capture strings
  0x102000-0x103000: Network/signature/crypto strings
  0x103000-0x104000: NOP descriptions, feature details
  0x104000-0x105000: Stratagem/enemy/weapon list strings
  0x105000-0x106000: ImGui key names, error strings
